Package                           Version                Build                  Size       Kind   Source
matplotlib-inline                 0.2.1                  pyhd8ed1ab_0           14.8 KiB   conda  https://conda.anaconda.org/conda-forge/
mdit-py-plugins                   0.5.0                  pyhd8ed1ab_0           42.8 KiB   conda  https://conda.anaconda.org/conda-forge/
mdurl                             0.1.2                  pyhd8ed1ab_1           14.1 KiB   conda  https://conda.anaconda.org/conda-forge/
mergedeep                         1.3.4                  pyhd8ed1ab_1           11.4 KiB   conda  https://conda.anaconda.org/conda-forge/
minizip                           4.2.1                  h0ffbb96_0             103.8 KiB  conda  https://conda.anaconda.org/conda-forge/
mistune                           3.2.1                  pyhcf101f3_0           72.8 KiB   conda  https://conda.anaconda.org/conda-forge/
mkdocs                            1.6.1                  pyhd8ed1ab_1           3.4 MiB    conda  https://conda.anaconda.org/conda-forge/
mkdocs-autorefs                   1.4.4                  pyhd8ed1ab_0           35 KiB     conda  https://conda.anaconda.org/conda-forge/
mkdocs-get-deps                   0.2.2                  pyhd8ed1ab_0           15.2 KiB   conda  https://conda.anaconda.org/conda-forge/
mkdocs-jupyter                    0.25.1                 pyhd8ed1ab_1           1.1 MiB    conda  https://conda.anaconda.org/conda-forge/
mkdocs-material                   9.7.6                  pyhcf101f3_1           4.6 MiB    conda  https://conda.anaconda.org/conda-forge/
mkdocs-material-extensions        1.3.1                  pyhd8ed1ab_1           15.7 KiB   conda  https://conda.anaconda.org/conda-forge/
mkdocs_mermaid2_plugin            1.2.3                                         38.2 KiB   pypi   mkdocs_mermaid2_plugin-1.2.3-py3-none-any.whl
mkdocstrings                      1.0.3                  pyhd8ed1ab_0           35.4 KiB   conda  https://conda.anaconda.org/conda-forge/
mkdocstrings-python               2.0.2                  pyh332efcf_0           55.7 KiB   conda  https://conda.anaconda.org/conda-forge/
mkl                               2025.3.1               hac47afa_12            95.5 MiB   conda  https://conda.anaconda.org/conda-forge/
more-itertools                    11.0.2                 pyhcf101f3_0           69.6 KiB   conda  https://conda.anaconda.org/conda-forge/
msgpack-python                    1.1.2                  py314h909e829_1        86.6 KiB   conda  https://conda.anaconda.org/conda-forge/
munkres                           1.1.4                  pyhd8ed1ab_1           15.5 KiB   conda  https://conda.anaconda.org/conda-forge/
muparser                          2.3.5                  he0c23c2_0             145.1 KiB  conda  https://conda.anaconda.org/conda-forge/
mypy                              1.20.2                 py314h5a2d7ad_0        9.3 MiB    conda  https://conda.anaconda.org/conda-forge/
mypy_extensions                   1.1.0                  pyha770c72_0           11.5 KiB   conda  https://conda.anaconda.org/conda-forge/
narwhals                          2.20.0                 pyhcf101f3_0           277 KiB    conda  https://conda.anaconda.org/conda-forge/
nbclient                          0.10.4                 pyhd8ed1ab_0           27.8 KiB   conda  https://conda.anaconda.org/conda-forge/
nbconvert                         7.17.1                 hb502eef_0             5.2 KiB    conda  https://conda.anaconda.org/conda-forge/
nbconvert-core                    7.17.1                 pyhcf101f3_0           197.5 KiB  conda  https://conda.anaconda.org/conda-forge/
nbconvert-pandoc                  7.17.1                 h08b4883_0             5.7 KiB    conda  https://conda.anaconda.org/conda-forge/
nbformat                          5.10.4                 pyhd8ed1ab_1           98.6 KiB   conda  https://conda.anaconda.org/conda-forge/
nest-asyncio                      1.6.0                  pyhd8ed1ab_1           11.3 KiB   conda  https://conda.anaconda.org/conda-forge/
networkx                          3.6.1                  pyhcf101f3_0           1.5 MiB    conda  https://conda.anaconda.org/conda-forge/
nh3                               0.3.5                  py310ha413424_1        587.8 KiB  conda  https://conda.anaconda.org/conda-forge/
nlohmann_json                     3.12.0                 h5112557_1             131.7 KiB  conda  https://conda.anaconda.org/conda-forge/
notebook                          7.5.6                  pyhcf101f3_1           9.6 MiB    conda  https://conda.anaconda.org/conda-forge/
notebook-shim                     0.2.4                  pyhd8ed1ab_1           16.4 KiB   conda  https://conda.anaconda.org/conda-forge/
numcodecs                         0.16.5                 py314hd8fd7ce_0        507.7 KiB  conda  https://conda.anaconda.org/conda-forge/
numpy                             2.4.3                  py314h02f10f6_0        7 MiB      conda  https://conda.anaconda.org/conda-forge/
onemkl-license                    2025.3.1               h57928b3_12            39.9 KiB   conda  https://conda.anaconda.org/conda-forge/
openjpeg                          2.5.4                  h0e57b4f_0             239.8 KiB  conda  https://conda.anaconda.org/conda-forge/
openssl                           3.6.2                  hf411b9b_0             9 MiB      conda  https://conda.anaconda.org/conda-forge/
orc                               2.3.0                  h8fc0eb6_0             1.4 MiB    conda  https://conda.anaconda.org/conda-forge/
overrides                         7.7.0                  pyhd8ed1ab_1           29.4 KiB   conda  https://conda.anaconda.org/conda-forge/
packaging                         26.2                   pyhc364b38_0           89.4 KiB   conda  https://conda.anaconda.org/conda-forge/
paginate                          0.5.7                  pyhd8ed1ab_1           18.4 KiB   conda  https://conda.anaconda.org/conda-forge/
pandas                            3.0.2                  py314hf700ef7_0        13.4 MiB   conda  https://conda.anaconda.org/conda-forge/
pandoc                            3.9.0.2                h57928b3_0             25.4 MiB   conda  https://conda.anaconda.org/conda-forge/
pandocfilters                     1.5.0                  pyhd8ed1ab_0           11.4 KiB   conda  https://conda.anaconda.org/conda-forge/
panel                             1.8.10                 pyhd8ed1ab_0           22.2 MiB   conda  https://conda.anaconda.org/conda-forge/
pango                             1.56.4                 h13911b6_1             444.3 KiB  conda  https://conda.anaconda.org/conda-forge/
param                             2.3.3                  pyhc455866_0           176.7 KiB  conda  https://conda.anaconda.org/conda-forge/
parso                             0.8.7                  pyhcf101f3_0           80.5 KiB   conda  https://conda.anaconda.org/conda-forge/
partd                             1.4.2                  pyhd8ed1ab_0           20.4 KiB   conda  https://conda.anaconda.org/conda-forge/
pathspec                          1.1.1                  pyhd8ed1ab_0           55.2 KiB   conda  https://conda.anaconda.org/conda-forge/
pcre2                             10.47                  hd2b5f0e_0             972.6 KiB  conda  https://conda.anaconda.org/conda-forge/
pexpect                           4.9.0                  pyhd8ed1ab_1           52.3 KiB   conda  https://conda.anaconda.org/conda-forge/
pillow                            12.2.0                 py314h61b30b5_0        960.7 KiB  conda  https://conda.anaconda.org/conda-forge/
pip                               26.1.1                 pyh145f28c_0           1.1 MiB    conda  https://conda.anaconda.org/conda-forge/
pixi-pycharm                      0.0.11                 win_hba80fca_0         6.8 KiB    conda  https://conda.anaconda.org/conda-forge/
pixman                            0.46.4                 h5112557_1             530.1 KiB  conda  https://conda.anaconda.org/conda-forge/
pkce                              1.0.3                  pyhd8ed1ab_1           8.9 KiB    conda  https://conda.anaconda.org/conda-forge/
platformdirs                      4.9.6                  pyhcf101f3_0           25.3 KiB   conda  https://conda.anaconda.org/conda-forge/
pluggy                            1.6.0                  pyhf9edf01_1           25.3 KiB   conda  https://conda.anaconda.org/conda-forge/
procodile                         0.1.0.dev0                                               pypi    (editable)
procodile_example                 0.0.0                                                    pypi    (editable)
proj                              9.8.1                  hd30e2cd_0             3 MiB      conda  https://conda.anaconda.org/conda-forge/
prometheus-cpp                    1.3.0                  hcea2f5d_0             179.4 KiB  conda  https://conda.anaconda.org/conda-forge/
prometheus_client                 0.25.0                 pyhd8ed1ab_0           55.8 KiB   conda  https://conda.anaconda.org/conda-forge/
prompt-toolkit                    3.0.52                 pyha770c72_0           267.5 KiB  conda  https://conda.anaconda.org/conda-forge/
prompt_toolkit                    3.0.52                 hd8ed1ab_0             7 KiB      conda  https://conda.anaconda.org/conda-forge/
psutil                            7.2.2                  py314hc5dbbe4_0        244.1 KiB  conda  https://conda.anaconda.org/conda-forge/
pthread-stubs                     0.4                    h0e40799_1002          9.2 KiB    conda  https://conda.anaconda.org/conda-forge/
ptyprocess                        0.7.0                  pyhd8ed1ab_1           19 KiB     conda  https://conda.anaconda.org/conda-forge/
pure_eval                         0.2.3                  pyhd8ed1ab_1           16.3 KiB   conda  https://conda.anaconda.org/conda-forge/
pyarrow                           24.0.0                 py314h86ab7b2_0        26.5 KiB   conda  https://conda.anaconda.org/conda-forge/
pyarrow-core                      24.0.0                 py314h159fc0c_0_cpu    3.5 MiB    conda  https://conda.anaconda.org/conda-forge/
pycparser                         2.22                   pyh29332c3_1           107.5 KiB  conda  https://conda.anaconda.org/conda-forge/
pydantic                          2.13.3                 pyhcf101f3_0           338.2 KiB  conda  https://conda.anaconda.org/conda-forge/
pydantic-core                     2.46.3                 py314h9f07db2_0        1.8 MiB    conda  https://conda.anaconda.org/conda-forge/
pydantic-extra-types              2.11.2                 pyhcf101f3_0           72.2 KiB   conda  https://conda.anaconda.org/conda-forge/
pydantic-settings                 2.14.0                 pyhcf101f3_1           51.3 KiB   conda  https://conda.anaconda.org/conda-forge/
pygments                          2.20.0                 pyhd8ed1ab_0           872.1 KiB  conda  https://conda.anaconda.org/conda-forge/
pyjwt                             2.12.1                 pyhcf101f3_0           31.5 KiB   conda  https://conda.anaconda.org/conda-forge/
pymdown-extensions                10.20.1                pyhd8ed1ab_0           168.4 KiB  conda  https://conda.anaconda.org/conda-forge/
pyogrio                           0.12.1                 py314h1c1cb05_0        878.3 KiB  conda  https://conda.anaconda.org/conda-forge/
pyparsing                         3.3.2                  pyhcf101f3_0           108.3 KiB  conda  https://conda.anaconda.org/conda-forge/
pyproj                            3.7.2                  py314h9d82244_4        882.6 KiB  conda  https://conda.anaconda.org/conda-forge/
pyproject_hooks                   1.2.0                  pyhd8ed1ab_1           15.2 KiB   conda  https://conda.anaconda.org/conda-forge/
pysocks                           1.7.1                  pyh09c184e_7           21.3 KiB   conda  https://conda.anaconda.org/conda-forge/
pytest                            9.0.3                  pyhc364b38_1           293 KiB    conda  https://conda.anaconda.org/conda-forge/
pytest-asyncio                    1.3.0                  pyhcf101f3_0           38.3 KiB   conda  https://conda.anaconda.org/conda-forge/
pytest-cov                        7.1.0                  pyhcf101f3_0           28.9 KiB   conda  https://conda.anaconda.org/conda-forge/
python                            3.14.4                 h4b44e0e_100_cp314     17.2 MiB   conda  https://conda.anaconda.org/conda-forge/
python-dateutil                   2.9.0.post0            pyhe01879c_2           227.8 KiB  conda  https://conda.anaconda.org/conda-forge/
python-discovery                  1.3.0                  pyhcf101f3_0           34.2 KiB   conda  https://conda.anaconda.org/conda-forge/
python-dotenv                     1.2.2                  pyhcf101f3_0           27.2 KiB   conda  https://conda.anaconda.org/conda-forge/
python-fastjsonschema             2.21.2                 pyhe01879c_0           238.9 KiB  conda  https://conda.anaconda.org/conda-forge/
python-gil                        3.14.4                 h4df99d1_100           48.6 KiB   conda  https://conda.anaconda.org/conda-forge/
python-graphviz                   0.21                   pyhbacfb6d_0           37.9 KiB   conda  https://conda.anaconda.org/conda-forge/
python-json-logger                3.2.1                  pyh332efcf_0           18.5 KiB   conda  https://conda.anaconda.org/conda-forge/
python-librt                      0.10.0                 py314hc5dbbe4_0        57.4 KiB   conda  https://conda.anaconda.org/conda-forge/
python-multipart                  0.0.27                 pyhcf101f3_0           36.8 KiB   conda  https://conda.anaconda.org/conda-forge/
python-tzdata                     2026.2                 pyhd8ed1ab_0           143.2 KiB  conda  https://conda.anaconda.org/conda-forge/
python_abi                        3.14                   8_cp314                6.8 KiB    conda  https://conda.anaconda.org/conda-forge/
pytokens                          0.3.0                  pyhcf101f3_0           18.4 KiB   conda  https://conda.anaconda.org/conda-forge/
pytz                              2026.2                 pyhcf101f3_0           197 KiB    conda  https://conda.anaconda.org/conda-forge/
pyviz_comms                       3.0.6                  pyhd8ed1ab_0           48.3 KiB   conda  https://conda.anaconda.org/conda-forge/
pywin32                           311                    py314h8f8f202_1        6.4 MiB    conda  https://conda.anaconda.org/conda-forge/
pywin32-ctypes                    0.2.3                  py314h86ab7b2_3        56.7 KiB   conda  https://conda.anaconda.org/conda-forge/
pywinpty                          2.0.15                 py314h51f0985_1        211.3 KiB  conda  https://conda.anaconda.org/conda-forge/
pyyaml                            6.0.3                  py314h2359020_1        177 KiB    conda  https://conda.anaconda.org/conda-forge/
pyyaml-env-tag                    1.1                    pyhd8ed1ab_0           10.9 KiB   conda  https://conda.anaconda.org/conda-forge/
pyzmq                             27.1.0                 py312h343a6d4_2        178.9 KiB  conda  https://conda.anaconda.org/conda-forge/
qhull                             2020.2                 hc790b64_5             1.3 MiB    conda  https://conda.anaconda.org/conda-forge/
rattler-build                     0.48.1                 h18a1a76_0             16.9 MiB   conda  https://conda.anaconda.org/conda-forge/
re2                               2025.11.05             ha104f34_1             215.1 KiB  conda  https://conda.anaconda.org/conda-forge/
readchar                          4.2.2                  pyhcf101f3_0           15.3 KiB   conda  https://conda.anaconda.org/conda-forge/
readme_renderer                   44.0                   pyhd8ed1ab_1           17.1 KiB   conda  https://conda.anaconda.org/conda-forge/
referencing                       0.37.0                 pyhcf101f3_0           50.6 KiB   conda  https://conda.anaconda.org/conda-forge/
requests                          2.33.1                 pyhcf101f3_1           62.2 KiB   conda  https://conda.anaconda.org/conda-forge/
requests-toolbelt                 1.0.0                  pyhd8ed1ab_1           43.2 KiB   conda  https://conda.anaconda.org/conda-forge/
rfc3339-validator                 0.1.4                  pyhd8ed1ab_1           10 KiB     conda  https://conda.anaconda.org/conda-forge/
rfc3986                           2.0.0                  pyhd8ed1ab_1           37.1 KiB   conda  https://conda.anaconda.org/conda-forge/
rfc3986-validator                 0.1.1                  pyh9f0ad1d_0           7.6 KiB    conda  https://conda.anaconda.org/conda-forge/
rfc3987-syntax                    1.1.0                  pyhe01879c_1           22.4 KiB   conda  https://conda.anaconda.org/conda-forge/
rich                              15.0.0                 pyhcf101f3_0           203.7 KiB  conda  https://conda.anaconda.org/conda-forge/
rich-toolkit                      0.19.7                 pyhcf101f3_0           31.7 KiB   conda  https://conda.anaconda.org/conda-forge/
rpds-py                           0.30.0                 py314h9f07db2_0        230.3 KiB  conda  https://conda.anaconda.org/conda-forge/
ruff                              0.15.11                h02f8532_0             9.4 MiB    conda  https://conda.anaconda.org/conda-forge/
scikit-learn                      1.8.0                  np2py314h1b5b07a_1     8.7 MiB    conda  https://conda.anaconda.org/conda-forge/
scipy                             1.17.1                 py314h221f224_0        14.3 MiB   conda  https://conda.anaconda.org/conda-forge/
semver                            3.0.4                  pyhcf101f3_1           22 KiB     conda  https://conda.anaconda.org/conda-forge/
send2trash                        2.1.0                  pyh6dadd2b_1           22.3 KiB   conda  https://conda.anaconda.org/conda-forge/
setuptools                        82.0.1                 pyh332efcf_0           624.7 KiB  conda  https://conda.anaconda.org/conda-forge/
shapely                           2.1.2                  py314h76f3c27_2        600.1 KiB  conda  https://conda.anaconda.org/conda-forge/
shellingham                       1.5.4                  pyhd8ed1ab_2           14.7 KiB   conda  https://conda.anaconda.org/conda-forge/
six                               1.17.0                 pyhe01879c_1           18 KiB     conda  https://conda.anaconda.org/conda-forge/
snappy                            1.2.2                  h7fa0ca8_1             65.8 KiB   conda  https://conda.anaconda.org/conda-forge/
sniffio                           1.3.1                  pyhd8ed1ab_2           15.3 KiB   conda  https://conda.anaconda.org/conda-forge/
sortedcontainers                  2.4.0                  pyhd8ed1ab_1           28 KiB     conda  https://conda.anaconda.org/conda-forge/
soupsieve                         2.8.3                  pyhd8ed1ab_0           37.3 KiB   conda  https://conda.anaconda.org/conda-forge/
sqlite                            3.53.1                 hdb435a2_0             415.7 KiB  conda  https://conda.anaconda.org/conda-forge/
stack_data                        0.6.3                  pyhd8ed1ab_1           26.4 KiB   conda  https://conda.anaconda.org/conda-forge/
starlette                         1.0.0                  pyhcf101f3_0           62.2 KiB   conda  https://conda.anaconda.org/conda-forge/
tbb                               2023.0.0               ha3553a1_1             153.2 KiB  conda  https://conda.anaconda.org/conda-forge/
tblib                             3.2.2                  pyhcf101f3_0           18.9 KiB   conda  https://conda.anaconda.org/conda-forge/
terminado                         0.18.1                 pyh6dadd2b_1           23.1 KiB   conda  https://conda.anaconda.org/conda-forge/
threadpoolctl                     3.6.0                  pyhecae5ae_0           23.3 KiB   conda  https://conda.anaconda.org/conda-forge/
tinycss2                          1.4.0                  pyhd8ed1ab_0           27.6 KiB   conda  https://conda.anaconda.org/conda-forge/
tk                                8.6.13                 h6ed50ae_3             3.4 MiB    conda  https://conda.anaconda.org/conda-forge/
tomli                             2.4.1                  pyhcf101f3_0           21.1 KiB   conda  https://conda.anaconda.org/conda-forge/
tomli-w                           1.2.0                  pyhd8ed1ab_0           12.4 KiB   conda  https://conda.anaconda.org/conda-forge/
tomlkit                           0.14.0                 pyha770c72_0           38.3 KiB   conda  https://conda.anaconda.org/conda-forge/
toolz                             1.1.0                  pyhd8ed1ab_1           52.7 KiB   conda  https://conda.anaconda.org/conda-forge/
tornado                           6.5.5                  py314h5a2d7ad_0        893.4 KiB  conda  https://conda.anaconda.org/conda-forge/
tqdm                              4.67.3                 pyha7b4d00_0           91.2 KiB   conda  https://conda.anaconda.org/conda-forge/
traitlets                         5.14.3                 pyhd8ed1ab_1           107.5 KiB  conda  https://conda.anaconda.org/conda-forge/
traittypes                        0.2.3                  pyh332efcf_0           13 KiB     conda  https://conda.anaconda.org/conda-forge/
trove-classifiers                 2026.4.28.13           pyhd8ed1ab_0           19.5 KiB   conda  https://conda.anaconda.org/conda-forge/
twine                             6.2.0                  pyhcf101f3_0           41.5 KiB   conda  https://conda.anaconda.org/conda-forge/
typeguard                         4.5.1                  pyhcf101f3_1           37.7 KiB   conda  https://conda.anaconda.org/conda-forge/
typer                             0.25.1                 pyhcf101f3_0           115.2 KiB  conda  https://conda.anaconda.org/conda-forge/
typing-extensions                 4.15.0                 h396c80c_0             89.2 KiB   conda  https://conda.anaconda.org/conda-forge/
typing-inspection                 0.4.2                  pyhcf101f3_2           20.4 KiB   conda  https://conda.anaconda.org/conda-forge/
typing_extensions                 4.15.0                 pyhcf101f3_0           50.5 KiB   conda  https://conda.anaconda.org/conda-forge/
typing_utils                      0.1.0                  pyhd8ed1ab_1           14.8 KiB   conda  https://conda.anaconda.org/conda-forge/
tzdata                            2025c                  hc9c84f9_1             116.3 KiB  conda  https://conda.anaconda.org/conda-forge/
uc-micro-py                       2.0.0                  pyhcf101f3_0           13.1 KiB   conda  https://conda.anaconda.org/conda-forge/
ucrt                              10.0.26100.0           h57928b3_0             678.4 KiB  conda  https://conda.anaconda.org/conda-forge/
unicodedata2                      17.0.1                 py314h5a2d7ad_0        396.6 KiB  conda  https://conda.anaconda.org/conda-forge/
uri-template                      1.3.0                  pyhd8ed1ab_1           23.4 KiB   conda  https://conda.anaconda.org/conda-forge/
uriparser                         0.9.8                  h5a68840_0             48 KiB     conda  https://conda.anaconda.org/conda-forge/
urllib3                           2.6.3                  pyhd8ed1ab_0           100.8 KiB  conda  https://conda.anaconda.org/conda-forge/
userpath                          1.9.2                  pyhd8ed1ab_0           14 KiB     conda  https://conda.anaconda.org/conda-forge/
uv                                0.11.10                h994c5b2_0             18.9 MiB   conda  https://conda.anaconda.org/conda-forge/
uvicorn                           0.46.0                 pyh6dadd2b_0           53.7 KiB   conda  https://conda.anaconda.org/conda-forge/
uvicorn-standard                  0.46.0                 h1c5ca41_0             4.1 KiB    conda  https://conda.anaconda.org/conda-forge/
vc                                14.3                   h41ae7f8_34            18.9 KiB   conda  https://conda.anaconda.org/conda-forge/
vc14_runtime                      14.44.35208            h818238b_34            667.2 KiB  conda  https://conda.anaconda.org/conda-forge/
vcomp14                           14.44.35208            h818238b_34            112.5 KiB  conda  https://conda.anaconda.org/conda-forge/
virtualenv                        21.3.1                 pyhcf101f3_0           4.9 MiB    conda  https://conda.anaconda.org/conda-forge/
vs2015_runtime                    14.44.35208            h38c0c73_34            18.9 KiB   conda  https://conda.anaconda.org/conda-forge/
watchdog                          6.0.0                  py314hb821551_3        199.1 KiB  conda  https://conda.anaconda.org/conda-forge/
watchfiles                        1.1.1                  py314h170c82c_0        298.4 KiB  conda  https://conda.anaconda.org/conda-forge/
wcwidth                           0.7.0                  pyhd8ed1ab_0           81 KiB     conda  https://conda.anaconda.org/conda-forge/
webcolors                         25.10.0                pyhd8ed1ab_0           18.5 KiB   conda  https://conda.anaconda.org/conda-forge/
webencodings                      0.5.1                  pyhd8ed1ab_3           15.1 KiB   conda  https://conda.anaconda.org/conda-forge/
websocket-client                  1.9.0                  pyhd8ed1ab_0           60 KiB     conda  https://conda.anaconda.org/conda-forge/
websockets                        16.0                   py314hc5dbbe4_1        429.6 KiB  conda  https://conda.anaconda.org/conda-forge/
widgetsnbextension                4.0.15                 pyhd8ed1ab_0           868.4 KiB  conda  https://conda.anaconda.org/conda-forge/
win_inet_pton                     1.1.0                  pyh7428d3b_8           9.3 KiB    conda  https://conda.anaconda.org/conda-forge/
winpty                            0.4.3                  4                      1.1 MiB    conda  https://conda.anaconda.org/conda-forge/
wrapt                             2.1.2                  py314h5a2d7ad_0        84.1 KiB   conda  https://conda.anaconda.org/conda-forge/
wraptile                          0.1.0.dev0                                               pypi    (editable)
xarray                            2026.4.0               pyhc364b38_0           994.1 KiB  conda  https://conda.anaconda.org/conda-forge/
xerces-c                          3.3.0                  hac47afa_1             3.4 MiB    conda  https://conda.anaconda.org/conda-forge/
xorg-libice                       1.1.2                  h0e40799_0             230.8 KiB  conda  https://conda.anaconda.org/conda-forge/
xorg-libsm                        1.2.6                  h0e40799_0             94.8 KiB   conda  https://conda.anaconda.org/conda-forge/
xorg-libx11                       1.8.13                 hfa52320_0             932.2 KiB  conda  https://conda.anaconda.org/conda-forge/
xorg-libxau                       1.0.12                 hba3369d_1             106.7 KiB  conda  https://conda.anaconda.org/conda-forge/
xorg-libxdmcp                     1.1.5                  hba3369d_1             69 KiB     conda  https://conda.anaconda.org/conda-forge/
xorg-libxext                      1.3.7                  hba3369d_0             279.4 KiB  conda  https://conda.anaconda.org/conda-forge/
xorg-libxpm                       3.5.19                 hba3369d_0             232 KiB    conda  https://conda.anaconda.org/conda-forge/
xorg-libxt                        1.3.1                  h0e40799_0             897.1 KiB  conda  https://conda.anaconda.org/conda-forge/
xyzservices                       2026.3.0               pyhd8ed1ab_0           50.5 KiB   conda  https://conda.anaconda.org/conda-forge/
yaml                              0.2.5                  h6a83c73_3             62.4 KiB   conda  https://conda.anaconda.org/conda-forge/
zarr                              3.2.1                  pyhc364b38_0           359.1 KiB  conda  https://conda.anaconda.org/conda-forge/
zeromq                            4.3.5                  h507cc87_10            259.4 KiB  conda  https://conda.anaconda.org/conda-forge/
zict                              3.0.0                  pyhd8ed1ab_1           35.5 KiB   conda  https://conda.anaconda.org/conda-forge/
zipp                              3.23.1                 pyhcf101f3_0           23.9 KiB   conda  https://conda.anaconda.org/conda-forge/
zlib                              1.3.2                  hfd05255_2             830.4 KiB  conda  https://conda.anaconda.org/conda-forge/
zlib-ng                           2.3.3                  h0261ad2_1             121.6 KiB  conda  https://conda.anaconda.org/conda-forge/
zstandard                         0.25.0                 py314hc5dbbe4_1        372.2 KiB  conda  https://conda.anaconda.org/conda-forge/
zstd                              1.5.7                  h534d264_6             379.3 KiB  conda  https://conda.anaconda.org/conda-forge/
