Package                           Version                Build                  Size       Kind   Source
certifi                           2026.4.22              pyhd8ed1ab_0           132.5 KiB  conda  https://conda.anaconda.org/conda-forge/
cffi                              2.0.0                  py314h5a2d7ad_1        287.8 KiB  conda  https://conda.anaconda.org/conda-forge/
charset-normalizer                3.4.7                  pyhd8ed1ab_0           57.5 KiB   conda  https://conda.anaconda.org/conda-forge/
click                             8.2.1                  pyh7428d3b_0           86.1 KiB   conda  https://conda.anaconda.org/conda-forge/
cloudpickle                       3.1.2                  pyhcf101f3_1           26.7 KiB   conda  https://conda.anaconda.org/conda-forge/
cmarkgfm                          2024.11.20             py314h5a2d7ad_1        119.7 KiB  conda  https://conda.anaconda.org/conda-forge/
colorama                          0.4.6                  pyhd8ed1ab_1           26.4 KiB   conda  https://conda.anaconda.org/conda-forge/
comm                              0.2.3                  pyhe01879c_0           14.3 KiB   conda  https://conda.anaconda.org/conda-forge/
conda-package-handling            2.4.0                  pyh7900ff3_2           251.9 KiB  conda  https://conda.anaconda.org/conda-forge/
conda-package-streaming           0.12.0                 pyhd8ed1ab_0           21.4 KiB   conda  https://conda.anaconda.org/conda-forge/
contourpy                         1.3.3                  py314hf309875_4        241.6 KiB  conda  https://conda.anaconda.org/conda-forge/
coverage                          7.13.5                 py314h2359020_0        428.6 KiB  conda  https://conda.anaconda.org/conda-forge/
cpython                           3.14.4                 py314hd8ed1ab_100      48.6 KiB   conda  https://conda.anaconda.org/conda-forge/
cryptography                      48.0.0                 py314he884d78_0        1.6 MiB    conda  https://conda.anaconda.org/conda-forge/
cuiman                            0.1.0.dev0                                               pypi    (editable)
cycler                            0.12.1                 pyhcf101f3_2           14.4 KiB   conda  https://conda.anaconda.org/conda-forge/
cytoolz                           1.1.0                  py314h5a2d7ad_2        568.4 KiB  conda  https://conda.anaconda.org/conda-forge/
dask                              2026.3.0               pyhc364b38_0           11.1 KiB   conda  https://conda.anaconda.org/conda-forge/
dask-core                         2026.3.0               pyhc364b38_0           1 MiB      conda  https://conda.anaconda.org/conda-forge/
datamodel-code-generator          0.56.0                 pyhcf101f3_0           187.6 KiB  conda  https://conda.anaconda.org/conda-forge/
debugpy                           1.8.20                 py314hb98de8c_0        3.8 MiB    conda  https://conda.anaconda.org/conda-forge/
decorator                         5.2.1                  pyhd8ed1ab_0           13.8 KiB   conda  https://conda.anaconda.org/conda-forge/
defusedxml                        0.7.1                  pyhd8ed1ab_0           23.5 KiB   conda  https://conda.anaconda.org/conda-forge/
deprecated                        1.3.1                  pyhd8ed1ab_1           15.5 KiB   conda  https://conda.anaconda.org/conda-forge/
distlib                           0.4.0                  pyhd8ed1ab_0           269.2 KiB  conda  https://conda.anaconda.org/conda-forge/
distributed                       2026.3.0               pyhc364b38_0           825.8 KiB  conda  https://conda.anaconda.org/conda-forge/
dnspython                         2.8.0                  pyhcf101f3_0           191.9 KiB  conda  https://conda.anaconda.org/conda-forge/
docutils                          0.22.4                 pyhd8ed1ab_0           427.7 KiB  conda  https://conda.anaconda.org/conda-forge/
donfig                            0.8.1.post1            pyhd8ed1ab_1           22 KiB     conda  https://conda.anaconda.org/conda-forge/
editables                         0.6                    pyhcf101f3_0           12.9 KiB   conda  https://conda.anaconda.org/conda-forge/
editorconfig                      0.17.1                                        39.1 KiB   pypi   editorconfig-0.17.1-py3-none-any.whl
email-validator                   2.3.0                  pyhd8ed1ab_0           45.7 KiB   conda  https://conda.anaconda.org/conda-forge/
email_validator                   2.3.0                  hd8ed1ab_0             6.9 KiB    conda  https://conda.anaconda.org/conda-forge/
eozilla                           0.1.0.dev0                                               pypi    (editable)
exceptiongroup                    1.3.1                  pyhd8ed1ab_0           20.8 KiB   conda  https://conda.anaconda.org/conda-forge/
executing                         2.2.1                  pyhd8ed1ab_0           30 KiB     conda  https://conda.anaconda.org/conda-forge/
fastapi                           0.136.1                h9093a4d_0             4.7 KiB    conda  https://conda.anaconda.org/conda-forge/
fastapi-cli                       0.0.23                 pyhcf101f3_0           18.5 KiB   conda  https://conda.anaconda.org/conda-forge/
fastapi-core                      0.136.1                pyhcf101f3_0           93.6 KiB   conda  https://conda.anaconda.org/conda-forge/
fastar                            0.11.0                 py314h401f7ea_0        281.2 KiB  conda  https://conda.anaconda.org/conda-forge/
filelock                          3.29.0                 pyhd8ed1ab_0           33.4 KiB   conda  https://conda.anaconda.org/conda-forge/
folium                            0.20.0                 pyhd8ed1ab_0           80.7 KiB   conda  https://conda.anaconda.org/conda-forge/
font-ttf-dejavu-sans-mono         2.37                   hab24e00_0             388.1 KiB  conda  https://conda.anaconda.org/conda-forge/
font-ttf-inconsolata              3.000                  h77eed37_0             94.3 KiB   conda  https://conda.anaconda.org/conda-forge/
font-ttf-source-code-pro          2.038                  h77eed37_0             684.4 KiB  conda  https://conda.anaconda.org/conda-forge/
font-ttf-ubuntu                   0.83                   h77eed37_3             1.5 MiB    conda  https://conda.anaconda.org/conda-forge/
fontconfig                        2.17.1                 hd47e2ca_0             190.8 KiB  conda  https://conda.anaconda.org/conda-forge/
fonts-conda-ecosystem             1                      0                      3.6 KiB    conda  https://conda.anaconda.org/conda-forge/
fonts-conda-forge                 1                      hc364b38_1             4 KiB      conda  https://conda.anaconda.org/conda-forge/
fonttools                         4.62.1                 pyh7db6752_0           820.6 KiB  conda  https://conda.anaconda.org/conda-forge/
fqdn                              1.5.1                  pyhd8ed1ab_1           16.3 KiB   conda  https://conda.anaconda.org/conda-forge/
freetype                          2.14.3                 h57928b3_0             181.3 KiB  conda  https://conda.anaconda.org/conda-forge/
freexl                            2.0.0                  hf297d47_2             75.7 KiB   conda  https://conda.anaconda.org/conda-forge/
fribidi                           1.0.16                 hfd05255_0             62.9 KiB   conda  https://conda.anaconda.org/conda-forge/
fsspec                            2026.4.0               pyhd8ed1ab_0           146.2 KiB  conda  https://conda.anaconda.org/conda-forge/
gavicore                          0.1.0.dev0                                               pypi    (editable)
genson                            1.3.0                  pyhd8ed1ab_0           23.7 KiB   conda  https://conda.anaconda.org/conda-forge/
geopandas                         1.1.3                  pyhd8ed1ab_0           8.6 KiB    conda  https://conda.anaconda.org/conda-forge/
geopandas-base                    1.1.3                  pyha770c72_0           249 KiB    conda  https://conda.anaconda.org/conda-forge/
geos                              3.14.1                 hdade9fe_0             1.7 MiB    conda  https://conda.anaconda.org/conda-forge/
getopt-win32                      0.1                    h6a83c73_3             25.6 KiB   conda  https://conda.anaconda.org/conda-forge/
ghp-import                        2.1.0                  pyhd8ed1ab_2           16.2 KiB   conda  https://conda.anaconda.org/conda-forge/
google-crc32c                     1.8.0                  py314h720154c_1        28.5 KiB   conda  https://conda.anaconda.org/conda-forge/
graphite2                         1.3.14                 hac47afa_2             94.1 KiB   conda  https://conda.anaconda.org/conda-forge/
graphviz                          13.1.2                 ha5e8f4b_0             1.2 MiB    conda  https://conda.anaconda.org/conda-forge/
griffe                            2.0.2                  pyhcf101f3_0           16.7 KiB   conda  https://conda.anaconda.org/conda-forge/
griffe-pydantic                   1.3.1                  pyhd8ed1ab_0           18.3 KiB   conda  https://conda.anaconda.org/conda-forge/
griffecli                         2.0.2                  pyhcf101f3_0           19.2 KiB   conda  https://conda.anaconda.org/conda-forge/
griffelib                         2.0.2                  pyhcf101f3_0           114.4 KiB  conda  https://conda.anaconda.org/conda-forge/
gts                               0.7.6                  h6b5321d_4             184.3 KiB  conda  https://conda.anaconda.org/conda-forge/
h11                               0.16.0                 pyhcf101f3_1           38.2 KiB   conda  https://conda.anaconda.org/conda-forge/
h2                                4.3.0                  pyhcf101f3_0           93.7 KiB   conda  https://conda.anaconda.org/conda-forge/
harfbuzz                          14.2.0                 h5a1b470_0             1.3 MiB    conda  https://conda.anaconda.org/conda-forge/
hatch                             1.16.5                 pyhcf101f3_0           203.5 KiB  conda  https://conda.anaconda.org/conda-forge/
hatchling                         1.29.0                 pyhcf101f3_0           59.6 KiB   conda  https://conda.anaconda.org/conda-forge/
